ID,Req. Timestamp,Resp. Timestamp,Method,URL,Code,Reason,RTT,Size Resp. Header,Size Resp. Body
6383,Thu Oct 09 23:25:37 IST 2025,Thu Oct 09 23:25:37 IST 2025,GET,http://192.168.8.101:3000/api/Challenges/?name=,200,OK,142,384,30
6385,Thu Oct 09 23:25:37 IST 2025,Thu Oct 09 23:25:38 IST 2025,GET,http://192.168.8.101:3000/api/Challenges/?name=%40,200,OK,145,384,30
6386,Thu Oct 09 23:25:38 IST 2025,Thu Oct 09 23:25:38 IST 2025,GET,http://192.168.8.101:3000/api/Challenges/?name=%2B,200,OK,142,384,30
6387,Thu Oct 09 23:25:38 IST 2025,Thu Oct 09 23:25:38 IST 2025,GET,http://192.168.8.101:3000/api/Challenges/?name=%00,500,Internal Server Error,132,403,81
6388,Thu Oct 09 23:25:38 IST 2025,Thu Oct 09 23:25:38 IST 2025,GET,http://192.168.8.101:3000/api/Challenges/?name=%7C,200,OK,125,384,30
6389,Thu Oct 09 23:25:38 IST 2025,Thu Oct 09 23:25:38 IST 2025,GET,http://192.168.8.101:3000/rest,500,Internal Server Error,22,363,1825
6390,Thu Oct 09 23:25:38 IST 2025,Thu Oct 09 23:25:38 IST 2025,GET,http://192.168.8.101:3000/rest/admin,500,Internal Server Error,89,363,1837
6391,Thu Oct 09 23:25:38 IST 2025,Thu Oct 09 23:25:38 IST 2025,GET,http://192.168.8.101:3000/rest/products,500,Internal Server Error,19,363,1843
6392,Thu Oct 09 23:25:38 IST 2025,Thu Oct 09 23:25:38 IST 2025,GET,http://192.168.8.101:3000/rest/products/1,500,Internal Server Error,44,363,1847
6393,Thu Oct 09 23:25:39 IST 2025,Thu Oct 09 23:25:39 IST 2025,GET,http://192.168.8.101:3000/rest/user,500,Internal Server Error,30,363,1835
6394,Thu Oct 09 23:25:39 IST 2025,Thu Oct 09 23:25:39 IST 2025,GET,http://192.168.8.101:3000/rest/products/search?q=,200,OK,148,389,13644
6395,Thu Oct 09 23:25:39 IST 2025,Thu Oct 09 23:25:39 IST 2025,GET,http://192.168.8.101:3000/socket.io,200,OK,70,469,75002
6396,Thu Oct 09 23:25:39 IST 2025,Thu Oct 09 23:25:39 IST 2025,GET,http://192.168.8.101:3000/socket.io/?EIO=4&transport=polling&t=Pd9XKj-&sid=CWfaRYAgm9i8v88hAAAx,400,Bad Request,56,230,41
6397,Thu Oct 09 23:25:39 IST 2025,Thu Oct 09 23:25:39 IST 2025,GET,http://192.168.8.101:3000/socket.io/?EIO=4&transport=polling&t=Pd9XKhr,200,OK,38,230,96
6398,Thu Oct 09 23:25:39 IST 2025,Thu Oct 09 23:25:39 IST 2025,GET,http://192.168.8.101:3000/socket.io/?EIO=4&transport=websocket&sid=CWfaRYAgm9i8v88hAAAx,400,Bad Request,67,92,18
6399,Thu Oct 09 23:25:39 IST 2025,Thu Oct 09 23:25:39 IST 2025,GET,http://192.168.8.101:3000/socket.io/?EIO=4&transport=polling&t=Pd9XKj-&sid=CWfaRYAgm9i8v88hAAAx,400,Bad Request,68,230,41
6401,Thu Oct 09 23:25:39 IST 2025,Thu Oct 09 23:25:39 IST 2025,GET,http://192.168.8.101:3000/socket.io/?EIO=4&transport=polling&t=Pd9XKj-&sid=CWfaRYAgm9i8v88hAAAx,400,Bad Request,24,230,41
6400,Thu Oct 09 23:25:39 IST 2025,Thu Oct 09 23:25:39 IST 2025,GET,http://192.168.8.101:3000/rest/products/search?=,200,OK,270,389,13644
